balance_date,fund,series,account,cash_balance,sweep_balance,projected_total_balance
2024-11-07,PRIME,MONTHLYIG,MAIN,"$3,953,725.61","$36,752,671.27","$43,647,072.27"
2024-11-07,PRIME,MONTHLYIG,MARGIN,$0.00,"$6,528,608.43","$6,528,608.43"
2024-11-07,PRIME,Q364,MAIN,"$505,096.66","$4,695,230.06","$6,951,767.03"
2024-11-07,PRIME,Q364,MARGIN,$0.00,"$5,511,562.10","$5,511,562.10"
2024-11-07,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,QUARTERLY1,MAIN,"$4,915,170.59","$45,689,981.27","$50,605,160.23"
2024-11-07,PRIME,QUARTERLY1,MARGIN,$0.00,"$3,421,624.68","$3,421,624.68"
2024-11-07,PRIME,CUSTOM1,MAIN,"$37,078.82","$344,673.79","$551,180.74"
2024-11-07,PRIME,CUSTOM1,MARGIN,$0.00,"$1,385,339.24","$1,385,339.24"
2024-11-07,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-07,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-07,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-07,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-13,USG,MASTER,MAIN,$0.00,"$7,189,121.91","$7,189,121.91"
2024-11-13,USG,MONTHLY,MAIN,$0.00,"$7,189,121.91","$7,189,121.91"
2024-11-13,USG,MASTER,MARGIN,$0.00,"$2,117,676.97","$2,102,253.82"
2024-11-13,USG,MONTHLY,MARGIN,$0.00,"$2,117,676.97","$2,102,253.82"
2024-11-13,PRIME,MASTER,MAIN,$0.00,"$166,478,589.52","$166,478,600.10"
2024-11-13,PRIME,MASTER,MARGIN,$0.00,"$35,183,052.25","$34,187,395.04"
2024-11-13,PRIME,MONTHLYIG,MAIN,$0.00,"$46,840,446.73","$46,840,446.77"
2024-11-13,PRIME,MONTHLYIG,MARGIN,$0.00,"$6,823,737.61","$6,823,737.61"
2024-11-13,PRIME,A2Y,MAIN,$0.00,"$2,187,856.62","$2,187,856.62"
2024-11-13,PRIME,A2Y,MARGIN,$0.00,"$4,192,034.46","$4,192,034.46"
2024-11-13,PRIME,QUARTERLYX,MAIN,$0.00,"$13,444,230.79","$13,444,232.07"
2024-11-13,PRIME,QUARTERLYX,MARGIN,$0.00,"$3,612,815.93","$3,612,815.93"
2024-11-13,PRIME,QUARTERLY1,MAIN,$0.00,"$53,655,524.27","$53,655,532.64"
2024-11-13,PRIME,QUARTERLY1,MARGIN,$0.00,"$3,636,949.90","$3,636,949.90"
2024-11-13,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,A1,MAIN,$0.00,"$7,227,217.99","$7,227,217.99"
2024-11-13,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
